,,,,,,,,,,,,,,,,,,
AvgCommunicate_57992_Content_1,abGc,avg通讯器聊天表_AvgCommunicate_A_M.csv,494,AvgCommunicate,Content,哈姆林,这里的音乐教室堪称简陋。,The music room here can only be called rudimentary.,Музыкальный класс здесь можно назвать скромным.,El aula de música aquí es bastante simple,ここにある音楽室は簡陋だ。,여기의 음악 교실은 상당히 초라하다.,La salle de musique ici est rudimentaire,Der Musikraum hier ist ziemlich einfach,Aqui a sala de música é muito simples,ห้องดนตรีที่นี่ค่อนข้างเรียบง่าย,Ruang musik di sini bisa dianggap sangat sederhana.,Phòng học nhạc ở đây có thể nói là thô sơ.
AvgCommunicate_57992_Content_2,abGf,avg通讯器聊天表_AvgCommunicate_A_M.csv,495,AvgCommunicate,Content,哈姆林,礼堂也实在是不堪入目。,The hall is also truly unsightly.,Аудитория также выглядит неприглядно.,El salón es realmente un desastre,礼堂も本当に見苦しい状態だ。,대회장도 정말 보기 흉합니다.,La salle de réception est vraiment en piteux état,Die Halle ist wirklich in einem erbärmlichen Zustand,O salão está realmente deplorável,หอประชุมก็แย่จนแทบจะมองไม่ได้,Aula juga benar-benar tidak enak dipandang.,Hội trường cũng thực sự không thể chịu đựng được.
AvgCommunicate_57992_Content_3,abGg,avg通讯器聊天表_AvgCommunicate_A_M.csv,496,AvgCommunicate,Content,哈姆林,还有你们的那些乐器，负责维护的人是谁，难道不知道定期调音吗？,"“And those instruments of yours, who is responsible for maintaining them? Don't they know they require periodic tuning?”","А ещё, кто отвечает за ваши инструменты? Неужели не знают, что их нужно регулярно настраивать?","Y sus instrumentos, ¿quién los mantiene? ¿No saben que deben afinarse regularmente?",それにあなたの楽器たち、メンテナンスをしている人は誰ですか。定期的な調律を知らなかったの？,여러분의 악기를 관리하는 사람이 정기적으로 조율하지 않는 걸 모르나요?,"Et vos instruments, qui s'en occupe ? Ne savent-ils pas qu'il faut les accorder régulièrement ?","Und eure Instrumente, wer ist für die Wartung zuständig? Kennt ihr keine regelmäßige Stimmung?","E seus instrumentos, quem é responsável pela manutenção? Não sabem que precisam ser afinados regularmente?",แล้วเครื่องดนตรีของพวกคุณล่ะ ใครเป็นคนดูแล หรือยังไม่รู้ว่าควรปรับเสียงเป็นประจำใช่ไหม?,"Dan alat musik kalian, siapa yang bertanggung jawab untuk merawatnya? Apakah tidak tahu bahwa mereka perlu di-tuning secara berkala?","Còn những nhạc cụ của các người, người phụ trách bảo trì là ai, chẳng lẽ không biết chỉnh dây thường xuyên sao?"
AvgCommunicate_57992_Content_5,abGi,avg通讯器聊天表_AvgCommunicate_A_M.csv,498,AvgCommunicate,Content,哈姆林,难以置信，这就是高等学府的音乐素养吗？简直让人无法接受。,"“Unbelievable, is this the musical capacity of a prestigious university? It's simply unacceptable.”","Невероятно, это уровень музыкальной культуры в высшем учебном заведении? Это просто невозможно принять.","Increíble, ¿es esta la calidad musical de una institución superior? Es inaceptable",信じられない、これが高等教育機関の音楽教養なのか。まったく受け入れがたい。,"믿을 수 없어, 이게 고등 교육기관의 음악 소양이야? 정말 참을 수 없어.","Incroyable, c'est ça le niveau musical d'une grande école ? Inacceptable","Unglaublich, ist das das musikalische Niveau einer Hochschule? Einfach unakzeptabel","Inacreditável, essa é a qualidade musical de uma universidade? Inaceitável",เหลือเชื่อจริงๆ นี่คือระดับการศึกษาด้านดนตรีของสถาบันอุดมศึกษาหรือ? ยอมรับไม่ได้เลย,"Sulit dipercaya, inilah tingkat pemahaman musik dari institusi pendidikan tinggi? Benar-benar tidak dapat diterima.","Không thể tin được, đây là trình độ âm nhạc của một trường đại học sao? Thật sự không thể chấp nhận được."
AvgCommunicate_57992_Content_6,abGj,avg通讯器聊天表_AvgCommunicate_A_M.csv,499,AvgCommunicate,Content,哈姆林,从今天开始，这些东西就由我全面接管了。,"“From today onward, I shall take on the mantle of overseeing these matters.”","Начиная с сегодняшнего дня, я полностью беру на себя управление этими вещами.","Desde hoy, me encargaré de estas cosas",今日から、これらのものは私が全面的に管理します。,오늘부터 이 일들은 전부 내가 담당할 거예요.,": À partir d'aujourd'hui, je prends tout en charge",Ab heute übernehme ich diese Dinge vollständig,"A partir de hoje, eu assumo o controle total dessas coisas",ตั้งแต่วันนี้เป็นต้นไป สิ่งเหล่านี้จะอยู่ภายใต้การดูแลของฉันทั้งหมด.,"Mulai hari ini, semua hal ini akan sepenuhnya saya ambil alih.","Từ hôm nay, những thứ này sẽ do tôi tự mình đảm nhận."
AvgCommunicate_57992_Content_7,abGk,avg通讯器聊天表_AvgCommunicate_A_M.csv,500,AvgCommunicate,Content,哈姆林,在银霜节之前，我一定要训练出一个合格的乐团。,I must train a qualified orchestra before the Silverfrost Festival.,Перед Серебряным Имфестом я обязательно должен подготовить квалифицированный оркестр.,"Antes del Festival de la Escarcha Plateada, debo entrenar a una banda competente",銀霜祭りの前に、私は必ず合格な楽団を鍛えなければならない。,은상절 전에 반드시 적합한 오케스트라를 연습시켜야 합니다.,"Avant le Festival de la Givre d'Argent, je dois former un orchestre compétent",Vor dem Silberfrostfest muss ich ein qualifiziertes Orchester ausbilden,"Antes do Festival da Geada Prateada, eu devo treinar uma orquestra qualificada",ก่อนเทศกาล Silver Frost ฉันต้องฝึกวงออร์เคสตราให้ได้มาตรฐาน,"Sebelum Festival Perak dan Embun, aku harus melatih sebuah orkestra yang layak.","Trước Lễ Bạc Sương, tôi nhất định phải huấn luyện ra một dàn nhạc đủ tiêu chuẩn."
AvgCommunicate_57992_Option_8,abGw,avg通讯器聊天表_AvgCommunicate_A_M.csv,501,AvgCommunicate,Option,玩家,幸好我不是乐团成员。,Thank goodness I'm not a member of the orchestra.,"К счастью, я Не член оркестра.","Por suerte, no soy miembro de la orquesta",何より私はバンドのメンバーじゃないです。,행운이 나는 밴드 멤버가 아니다.,"Heureusement, je ne suis pas membre de l'orchestre",Zum Glück bin ich kein Mitglied des Orchesters,Ainda bem que não sou membro da orquestra,โชคดีนะที่ฉันไม่ได้อยู่ในวงดนตรี,"Untungnya, aku bukan anggota orkestra.","May mắn thay, tôi không phải là thành viên của ban nhạc."
AvgCommunicate_57992_Content_8,abGl,avg通讯器聊天表_AvgCommunicate_A_M.csv,501,AvgCommunicate,Content,玩家,幸好我不是乐团成员。,Thank goodness I'm not a member of the orchestra.,"К счастью, я Не член оркестра.","Por suerte, no soy miembro de la orquesta",何より私はバンドのメンバーじゃないです。,행운이 나는 밴드 멤버가 아니다.,"Heureusement, je ne suis pas membre de l'orchestre",Zum Glück bin ich kein Mitglied des Orchesters,Ainda bem que não sou membro da orquestra,โชคดีนะที่ฉันไม่ได้อยู่ในวงดนตรี,"Untungnya, aku bukan anggota orkestra.","May mắn thay, tôi không phải là thành viên của ban nhạc."
AvgCommunicate_57992_Content_9,abGm,avg通讯器聊天表_AvgCommunicate_A_M.csv,502,AvgCommunicate,Content,哈姆林,你也别想走，指挥家。,"“Don’t think you’re off the hook, Conductor.”","И тебе не удастся уйти, дирижёр.","Tú tampoco te irás, director",君も逃げられないぞ、指揮者。,"너도 가는 생각 하지 마, 지휘자.","Toi non plus, tu ne partiras pas, chef d'orchestre","Du wirst auch nicht entkommen, Dirigent","Você também não vai escapar, maestro",คุณอย่าคิดจะหนีไปได้ วาทยกร,"Kamu juga tidak bisa pergi, Komandan.","Bạn cũng đừng hòng bỏ đi, người chỉ huy."
AvgCommunicate_57992_Content_11,abGe,avg通讯器聊天表_AvgCommunicate_A_M.csv,504,AvgCommunicate,Content,玩家,我没有报名啊！,But I never signed up!,Я не регистрировался!,¡No me inscribí!,私は申し込んでいないよ！,나는 등록하지 않았어요!,Je ne me suis pas inscrit !,Ich habe mich nicht angemeldet!,Não me inscrevi!,ฉันไม่ได้ลงทะเบียนนะ！,"Saya tidak mendaftar, kan!",Tôi không đăng ký!
,,,,,,,,,,,,,,,,,,
