AvgRole_1719_RoleName,arzr,avg角色_AvgRole_C.csv,724,AvgRole,Character Name,,伊诺斯,Enos
StageGroup_51755_Desc,aRpt,g关卡组_StageGroup_A.csv,169,StageGroup,Desc,,一个海洋死去了，她埋葬海的尸体。\n深海的倒影上，王的梦境消散，神的国度也已腐朽。\n她看见，自己从旧日的幻梦中走来，走入未来坍塌的废墟。\n她询问深渊，深渊缄默不语。\n她向深渊祭祀，回应她的，只有她自己。,"An ocean perished; she laid its remains to rest.\nUpon the mirror of the abyssal sea, her King's dream dissipates and the Divine Realm decays.\nShe beholds herself stepping forth from an ancient dream, only to step into the ruins of a collapsing future.\nShe questions the Abyss, but the Abyss remains silent.\nShe offers sacrifices to the Abyss, but the only voice that answers is her own."
Stage_51769_Name,aSKm,g关卡_Stage_A.csv,1810,Stage,Name,,预言,Prophecy
Stage_51769_Desc,aSKl,g关卡_Stage_A.csv,1810,Stage,Desc,,祈祷，是利莫里亚人学会的第一件事。,Prayer—is the first thing the Lemurians learned.
Stage_51767_Name,aSKg,g关卡_Stage_A.csv,1811,Stage,Name,,鱼肉,Fish Flesh
Stage_51767_Desc,aSKf,g关卡_Stage_A.csv,1811,Stage,Desc,,享用吧，祂说。享用那些低贱的温情，享用那被烹制好的命运。,"""Enjoy,"" He said. ""Enjoy the humble warmth; enjoy the fate that has been prepared."""
Stage_51768_Name,aSKj,g关卡_Stage_A.csv,1812,Stage,Name,,于深海祷告,Abyssal Prayer
Stage_51768_Desc,aSKi,g关卡_Stage_A.csv,1812,Stage,Desc,,祂的意志如星辰之网交织，祂在永恒的虚无中候汝入梦。,"His will is interwoven like a web of stars; He lingers within the everlasting void, awaiting you upon dream's threshold."
Stage_51765_Name,aSKa,g关卡_Stage_A.csv,1813,Stage,Name,,在雨中,In the Rain
Stage_51765_Desc,aSJZ,g关卡_Stage_A.csv,1813,Stage,Desc,,在雨中挣扎。在雨中告别。,Struggling in the rain. Saying farewell in the rain.
Stage_51766_Name,aSKd,g关卡_Stage_A.csv,1814,Stage,Name,,王的献礼,Offering to the King
Stage_51766_Desc,aSKc,g关卡_Stage_A.csv,1814,Stage,Desc,,回应我吧，吾主。我将为您，奉上最珍贵的献礼。,"Answer me, my Lord. I shall offer you my most precious gift."
Stage_51763_Name,aSJU,g关卡_Stage_A.csv,1815,Stage,Name,,祭司之仪,Priestess' Ritual
