AwakerStory_11170_Title,atAY,h唤醒体故事_AwakerStory_A.csv,94,AwakerStory,Title,图鲁,基础资料,Basic Information
AwakerStory_11170_Content,atAX,h唤醒体故事_AwakerStory_A.csv,94,AwakerStory,Content,图鲁,年幼的王沉睡于王座之上，于梦醒时分示下诏谕，权威遍及天下王土。\n夕日未落，王已然感到疲倦。他厌倦了自身的权能，也厌倦了超人的智慧，厌倦了信徒狂热的崇拜和供奉，也厌倦了超越万古的长梦。\n没人知道他在漫长的睡眠中都梦到了什么，但他们应当庆幸自己享有此等无知的幸福。,"The young king slumbers upon his throne. His decree lingers at the edge of all dreams, divined by his all-encompassing authority. \nBefore the sun sets, the king is already weary. He is tired of his power, of his superhuman wisdom, of the fervent worship and offerings, and of those ancient, endless dreams.\nNo one knows what he dreams of during that long, endless slumber. Yet one thing is for certain, they should be grateful for the blissful ignorance."
AwakerStory_11170_UnlockDesc,atAZ,h唤醒体故事_AwakerStory_A.csv,94,AwakerStory,UnlockDesc,图鲁,唤醒体等级达到1级,Awakener has reached level 1
AwakerStory_11354_Title,atPg,h唤醒体故事_AwakerStory_A.csv,95,AwakerStory,Title,图鲁,故事·一,Story: I
AwakerStory_11354_Content,atPf,h唤醒体故事_AwakerStory_A.csv,95,AwakerStory,Content,图鲁,在此之前，我们所知的人类最古老的文明起源于双河地，有大量扎实的考古学资料可以证明这一点。\n不过，人类总是不会满足于已知之物，当面对浩瀚无垠的幽暗海洋时，人们不会停止向着未知的海洋扬帆远航。\n也许我们不是第一次得到提醒与暗示。神智学家们曾提出过这样的假说：宇宙乃是一个令人敬畏的循环，而今我们的世界与人类本身，只是其中的短暂一环。\n有太多事物无声湮灭在循环之中，没留下一丝可供论证的凭据——这还是值得庆幸的，有些力量太过久远极端，哪怕只是残存的遗迹，都能够对我们的时代产生不可估量的影响。\n——例如这一次，「警戒号」船员在南洋海底的意外发现，至少将人类对史前文明的认知拓展到了数万年前。\n我们由此得知了一个存在国家、君主与特殊信仰的文明，毁灭于一场世界性大洪水中，长久地沉眠于海底。\n若没有密斯底亚协定审查会在封锁工作上的协助，人类历史或许就将被改写——而如今的世界，还没有做好面对颠覆的准备。,"Before all things, the oldest known human civilization was said to originate from the Twin River, with a wealth of archaeological data to prove it.\n However, humanity will never be satisfied with the known; when faced with the vast, dark ocean of the unknown, humanity will not hesitate to set sail.\n Perhaps we are simply not privy to the hints and reminders of the universe. Theosophists therefore proposed a hypothesis: the universe is an awe-inspiring cycle, and our world and humanity itself are but a brief link within it.\nToo many things silently dissolve in the cycle, leaving no trace for documentation. There is thankfully, an upside, as some forces are so ancient and extreme that even mere remnants of their presence can produce immeasurable impacts on our era.\n—For instance, the crew of the seafaring vessel ""Vigil"" unexpectedly discovered something deep at the bottom of the Southern Ocean, at least expanding humanity's understanding of prehistoric civilizations back tens of thousands of years.\nFrom this, we learned of an ancient civilization that had nations, kings, and unique belief systems, which perished in a great flood that swallowed the entire world, now long sleeping beneath the ocean.\nHad it not been for the assistance of the Mystia Treaty Committee in the blockade efforts of censoring information, human history might have been rewritten— today's world is still not ready to face such an upheaval. "
AwakerStory_11354_UnlockDesc,atPh,h唤醒体故事_AwakerStory_A.csv,95,AwakerStory,UnlockDesc,图鲁,同调率等级达到3,Affinity Level 3
AwakerStory_11280_Title,atJw,h唤醒体故事_AwakerStory_A.csv,96,AwakerStory,Title,图鲁,故事·二,Story: II
AwakerStory_11280_Content,atJv,h唤醒体故事_AwakerStory_A.csv,96,AwakerStory,Content,图鲁,有的唤醒体会在醒来后表现出对新躯壳、新生活的不适应，而有的则迅速接受了现状，较为主动地开始了第二生。\n图鲁不属于任何一种，从未有人像他这样露骨地表现出对当前世界的兴趣索然。\n他的素质极为优秀，也许他对当下世界的形势与危机也早有洞悉，但他宁愿把大把的时间用于睡眠。\n尽管并非出自本人的愿望，他在学校的人类与唤醒体之间也颇有名气。研究员们观察着他的一举一动，时不时发上几篇论文；考古学系、天文学系经常发来各种名目的学术研讨邀请，大部分都会指名请他参加。\n图鲁在唤醒体之间也有相当大的影响力：墨菲一看见他就闷闷不乐，戈利亚似乎总想与他暗中较劲，弥利亚姆则将他的每一句话奉为圣旨。\n对于这些，他从未表现出什么特殊的态度，没有期待，也没有要求。\n有时，他会随心所欲地回应部分请求，有时则不会。,"Some Awakeners unfortunately struggle with their new bodies and lives after reawakening, while others quickly adapt to their second life.\nTulu belongs to neither of these, openly displaying a lack of interest in the current affairs of the world.\nHis abilities are exceptional, no doubt keenly understanding the many crises that befall us, but he prefers to spend most of his time sleeping.\nDespite his indifference, he is well-known among both humans and Awakeners at Mythag. Researchers closely observe and publish papers about him often, and the Archaeology and Astronomy departments frequently extend invitations to him for academic discussions.\nTulu holds considerable influence among Awakeners: Murphy becomes gloomy at the mere sight of him, Goliath appears to become jealous and competitive, and Miryam regards his every word as gospel truth.\nHe shows no particular attitude toward these matters, neither expecting nor demanding anything in particular.\nSometimes he responds to requests according to his whims, and sometimes he does not."
AwakerStory_11280_UnlockDesc,atJx,h唤醒体故事_AwakerStory_A.csv,96,AwakerStory,UnlockDesc,图鲁,同调率等级达到5,Affinity Level 5
AwakerStory_11349_Title,atOM,h唤醒体故事_AwakerStory_A.csv,97,AwakerStory,Title,图鲁,故事·三,Story: III
AwakerStory_11349_Content,atOL,h唤醒体故事_AwakerStory_A.csv,97,AwakerStory,Content,图鲁,被从万千孩童中选出，被推上王座时，图鲁还不及那青金石御座高。\n但无人敢对他的漫不经心与久睡不醒置喙——所有人都知道，这是王正在聆听神谕的证明。\n贤明幼王所做的决断，必然会解决难题；所说出的预言，必然会应验。\n图鲁也就接受了这样的生活：进入「神明」的梦中，与那无法被理解的存在相见，以神谕治理国家，再度陷入沉睡……\n这个文明的运转，是由神明意志所决定的。顺势而下，应运而为，自己只要当好这独一无二的「传话人」便足矣。\n然而，图鲁也有唯一未能说出口的预言：国家将因洪水而覆灭，文明终将葬身海底。\n正因通晓一切，才更知毁灭无可改变——但至少在最后的时间里，不要让他们生活在恐惧与仿徨中。\n这是他身为国王，而非「神明代行者」所作出的决断。,"Chosen from among countless children, when Tulu was pushed onto the throne, he was still shorter than the seat of lapis lazuli.\nNo one dared to comment on his indifference and penchant for sleeping—everyone had already taken it as proof that the King was listening intently to the words of the divine.\nThe wise young King's decisions inevitably resolved many problems: the prophecies he uttered would always become a reality.\nTulu accepted this way of life: entering ""God""'s dreams, meeting that incomprehensible existence, ruling the nation through divine oracles, and falling into slumber once again as if a never-ending cycle...\nThis civilisation was determined by the will of the divine. All he had to do was move with the flow of the current, fulfill his role, and be a one-of-a-kind ""messenger"" to the people.\nYet, Tulu harbored an unspoken prophecy: this great nation would be eventually destroyed by a great flood, and civilization would ultimately be buried beneath the ocean waves.\nBeing the mouthpiece of Gods had made him all too aware of the inevitability of this destruction—yet at least in the final moments, he hoped for his people to not live in fear and uncertainty.\nThis was his final decree, not merely as a ""proxy of the divine"", but as a King."
