Reference/Inspiration,Gender,Character,English,Codename,Codename-EN,SPANISH,Codename-ES
TBA,Male,西维斯特,Sylvester,TBA,TBA,Sylvester,TBA
TBA,Female,莉奥诺拉,Leonora,TBA,TBA,Leonora,TBA
Dagon,Male,戈利亚,Goliath,复仇巨刃,Vengeance Blade,Goliath,La Hoja Vengadora
Cthulhi-Pharos,Female,法洛思,Faros,原初信徒,Primordial Devoutee,Faros,La Adepta Primordial
Cthulhi-Sanga,Female,珊,Sanga,雕砌者,The Sculptor,Sanga,La Escultora
Moon Jelly,Female,奥瑞塔,Aurita,海月,Moon Jelly,Aurita,La Medusa Lunar
Deep One-Teen,Male,凯刻斯,Caecus,沉渊者,Abyss Dweller,Caecus,El Morador del Abismo
White Ship,Female,希莱斯特,Celeste,守梦人,Dreamwatcher,Celeste,La Guardiana de Sueños
Cthulhu,Male,图鲁,Tulu,沉睡之主,Slumbering Sovereign,Tulu,El Señor Durmiente
Cthylla,Female,墨菲,Murphy,深海淑女,Lady of the Depths,Murphy,La Dama de las Profundidades
Hyrda,Female,弥利亚姆,Miryam,海之使徒,Apostle of the Sea,Miryam,El Apóstol del Mar
St. Elmo's Fire,Female,克珀珊特,Corposant,冷光,Mareel Glow,Corposant,Mar de Ardora
Cthylla,Female,诞妄·墨菲,Murphy: Fauxborn,TBA,TBA,Murphy: Falso Engendro,TBA
Cthulhu,Male,神王·图鲁,Tulu: Sovereign,TBA,TBA,Tulu: Soberano,TBA
Shoggoth-Adult,Female,希洛,Helot,破链者,Chainbreaker,Helot,La Rompecadenas
Ghatanothoa,Female,艾继丝,Aigis,石之眼,Petrifying Eyes,Aigis,Ojos Petrificantes
Uvhash,Male,尤乌哈希,Uvhash,猩红,Crimson,Uvhash,Carmesí
Eihort,Female,阿格里帕,Agrippa,迷宫蛛,Spider of the Labyrinth,Agrippa,La Araña del Laberinto
Colors-Stay,Female,菲茵特,Faint,星之芽,Starborne Sprout,Faint,Brote Estelar
Star Vampire-Irrational One,Female,雷娅,Leigh,渴血患者,Sanguivore Patient,Leigh,La Paciente Sanguinaria
Shub-Niggurath,Female,泰旖丝,Thais,丰穰之息,Breath of Fertility,Thais,Aliento de la Fertilidad
Ubbo-Sathla,Male,萨尔瓦多,Salvador,仁爱主祭,Benevolent Bishop,Salvador,El Sumo Sacerdote Benevolente
Queen in Red,Female,索蕾尔,Sorel,红夫人,Madam in Red,Sorel,La Dama Carmesí
Shoggoth-Adult,Female,血链·希洛,Helot: Catena,索魂者,Soul Reaper,Helot: Catena,La Segadora de Almas
Mordiggian,Male,杜勒塞因,Doresain,葬骸之主,Lord of Necrovia,Doresain,El Señor de los Sepulcros
Richard Upton Pickman,Male,皮克曼,Pickman,绘者,The Painter,Pickman,El Pintor
Rlim Shaikorth,Female,卡拉布,Caraboo,白色蠕虫,The White Worm,Caraboo,Gusano Blanco
Tick Tock Man,Female,艾瑞卡,Erica,嘀嗒人,Tick-Tock Man,Erica,Tic-Tac
Brown Jenkin,Female,詹金,Jenkin,窜行者,The Scuttler,Jenkin,La Escurridiza
Tulzscha,Female,莉兹,Liz,青炎舞者,Balefire Ballerina,Liz,La Bailarina de la Llama Verde
Colors-Escape,Female,汀克特,Tinct,歌者,The Singer,Tinct,La Cantante
Dimensional Shambler,Female,卡茜亚,Casiah,奇术师,The Sorcerer,Casiah,La Ilusionista
Great Race of Yith,Female,温柯尔,Winkle,迁移者,Dimension Shifter,Winkle,La Exploradora Interdimensional
Thousand-Faced Moon,Female,达芙黛尔,Daffodil,猎颅魔女,Skull Huntress,Daffodil,La Bruja Cazacraneos
Glaaki,Female,旺达,Wanda,荆棘女王,Queen of Thorns,Wanda,La Reina de Espinas
Le Horla,Female,奥尔拉,Horla,无名诗篇,Unnamed Poem,Horla,Poema Anónimo
Insect from Shaggai,Female,克莱门汀,Clementine,催眠妖虫,Hypnotic Shaggai,Clementine,Shaggai Hipnótico
Lloigor&Zhar,Male,卡斯托尔,Castor,圣子·黑羽,Divus: The Onyx Plume,Castor,Divus · La pluma de Ónix
Lloigor&Zhar,Male,波吕克斯,Pollux,TBA,TBA,Pollux,TBA
,Female,阿拉克涅,Arachne,TBA,TBA,Arachne,TBA
Mi-Go-Doll,Female,朵尔,Doll,缸中之脑,Brain in a Vat,Doll,Cerebro en un Frasco
Formless Spawn,Male,奥吉尔,Ogier,美德骑士,Virtue Knight,Ogier,El Caballero Virtuoso
Leviathan,Female,萝坦,Lotan,鲸跃,Whale Leap,Lotan,Salto de Ballena
Umr at-Tawil,Female,拉蒙娜,Ramona,知者,Sage,Ramona,La Sabia
Umr at-Tawil,Female,环行·拉蒙娜,Ramona: Timeworn,觉者,Perceiver,Ramona: Bucle,La Iluminada
Thuum'ha,Female,珈伦,Karen,凸月侍女,Maiden of the Gibbous Moon,Karen,La Doncella de la Luna Creciente
Crinoidea,Female,艾尔瓦,Alva,空想利刃,Blade of Utopia,Alva,La Espada Ilusoria
Nautilus,Female,诺缔拉,Nautila,鹦鹉螺,The Nautilus,Nautila,Nautilus
The Drown,Female,宁菲亚,Nymphaea,睡莲,Water Lily,Nymphaea,Lirio de Agua
Moon-Beast,Female,潘狄娅,Pandia,甜蜜恶鬼,Sweet Demon,Pandia,La Dulce Demonio
Shoggoth-W,Female,莉莉,Lily,淤泥之花,Blossom of Sludge,Lily,La Flor de Lodo
Abhoth,Female,24,24,分裂患者,Dissociative Patient,24,Paciente Disociativo
The Beast,Male,莱克,Ryker,好运侦探,Lucky Detective,Ryker,El Detective Afortunado
Tru'Nembra,Male,哈姆林,Hameln,指挥家,Conductor,Hameln,El Director de Orquesta
Umr at-Tawil,Female,塔薇,Tawil,门之钥,Key to the Gate,Tawil,Llave del Umbral
Mi-Go-Doll,Female,熔毁·朵尔,Doll: Inferno,腐坏之脑,Corrupted Brain,Doll: Infierno,Cerebro Corrupto
Serpent People,Male,阿尔比诺,Albino,TBA,TBA,Albino,TBA
Bugg-Shash,Male,罗杰斯,Rogers,TBA,TBA,Rogers,TBA
TBA,Male,卡纳克,Karnahk,TBA,TBA,Karnahk,TBA
TBA,Male,威廉,William,TBA,TBA,William,TBA
TBA,Male,德克斯特,Dexter,TBA,TBA,Dexter,TBA
TBA,Female,于丽埃特,Juliette,TBA,TBA,Juliette,TBA
TBA,Female,诃勒特,Czort,TBA,TBA,Czort,TBA
