CHARACTER,CHARACTER,CHINESE,ENGLISH,ENGLISH->SPANISH,CHINESE->SPANISH,SPANISH
拉蒙娜,#REF!,世界演绎法,Mundus Decree,Decreto Mundus,Deducción mundial,Decreto Mundus
拉蒙娜,#REF!,高效思维,Efficient Thinking,Pensamiento eficiente,Pensamiento eficiente,Pensamiento eficiente
拉蒙娜,#REF!,模拟演绎,Echoed Simulation,Simulación con eco,Simulación,Simulacion Resonante
拉蒙娜,#REF!,弥萨格利刃,Mythag's Blade,La espada de Mythag,La espada de Misag,Espada de Mythag
环行·拉蒙娜,#REF!,悖论收束,Paradox Converged,Paradoja convergente,Final de paradoja,Paradoja convergente
环行·拉蒙娜,#REF!,现实模仿,Reality Imitation,Imitación de la realidad,Imitación de la realidad,Imitación de la realidad
环行·拉蒙娜,#REF!,环行轨迹,Orbital Path,Trayectoria orbital,Trayectoria circular,Trayectoria orbital
环行·拉蒙娜,#REF!,负熵演算,Negentropy Calculation,Cálculo de la negentropía,Cálculo de entropía negativa,Cálculo de entropía negativa
奥吉尔,#REF!,七艺，传承美德,Seven Arts and Virtues,Siete Artes y Virtudes,"Siete Artes, virtudes heredadas","Siete Artes, virtudes heredadas"
奥吉尔,#REF!,骑士热诚,Knight's Zeal,Celo del caballero,Celo del caballero,Celo del caballero
奥吉尔,#REF!,前阵战术,Frontline Tactics,Tácticas de primera línea,Tácticas de primera línea,Tácticas de Vanguardia
奥吉尔,#REF!,战斗启示,Battle Insight,Perspectiva de batalla,Revelación de la batalla,Inspiración de combate
萝坦,#REF!,混沌之兽,Beast of Chaos,Bestia del Caos,Bestia del Caos,Bestia del Caos
萝坦,#REF!,廻环剑技,Looping Swordplay,Looping Swordplay,Técnica de espada de bucle,Técnica de espada giratoria
萝坦,#REF!,战意,Battle Intent,Intención de batalla,Voluntad de lucha,Intención de batalla
萝坦,#REF!,星兽余威,Starbeast's Afterglow,El resplandor de Starbeast,El poder restante de la bestia estelar,Brillo de la Bestia Estelar
朵尔,#REF!,理性，真理与现实,"Rationality, Truth, and Reality","Racionalidad, verdad y realidad","Razón, Verdad y Realidad","Racionalidad, verdad y realidad"
朵尔,#REF!,深度治疗,Deep Healing,Sanación profunda,Tratamiento en profundidad,Sanación profunda
